author_id,pages,weight,rating_value_0,rating_value_1,rating_count_0,rating_count_1,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_0_weight,genre_1_weight,genre_2_weight,genre_3_weight,genre_4_weight,genre_5_weight,genre_6_weight,genre_7_weight,genre_8_weight,genre_9_weight,price,bookformat_Comics,bookformat_Hardcover,bookformat_Kindle Edition,bookformat_Mass Market Paperback,bookformat_Paperback,bookformat_Spiral-bound,bookedition_First Edition,bookedition_Non first edition,bookedition_Unknown
2106,309.0,839.15,3.76,4.6,26625,1,4,4,13,13,15,13,13,4,12,13,0.45,0.22,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1018,330.0,839.15,4.48,4.6,21,1,9,4,4,4,13,13,13,13,12,13,1.0,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
1087,496.0,839.15,4.56,4.6,59885,1,12,6,13,13,13,13,13,13,6,13,0.42,0.22,0.08,0.08,0.05,0.05,0.04,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1295,418.0,839.15,4.39,4.6,26643,1,3,3,4,13,13,13,13,11,12,13,0.41,0.3,0.08,0.05,0.04,0.04,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,1,0,0
2622,784.0,839.15,3.93,4.6,11772,1,6,12,13,0,13,6,13,13,6,13,0.42,0.3,0.09,0.08,0.04,0.02,0.01,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
2076,255.0,839.15,3.79,4.6,13653,1,12,13,13,13,6,11,13,13,12,0,0.45,0.31,0.07,0.04,0.04,0.03,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
1914,492.0,839.15,3.97,4.6,100409,1,3,19,16,3,4,3,13,13,12,13,0.47,0.21,0.14,0.05,0.03,0.03,0.02,0.02,0.01,0.01,,0,0,1,0,0,0,0,0,1
1818,473.0,839.15,3.91,4.6,18525,1,4,4,13,13,13,13,4,13,12,13,0.32,0.3,0.1,0.06,0.05,0.04,0.04,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
1478,446.0,839.15,4.07,4.6,34994,1,18,11,4,13,17,13,13,13,12,4,0.24,0.21,0.16,0.1,0.09,0.07,0.07,0.03,0.02,0.01,,0,1,0,0,0,0,0,0,1
932,504.0,3628.74,4.29,4.6,26983,504,16,13,16,13,3,13,13,13,3,13,0.26,0.21,0.17,0.1,0.08,0.05,0.04,0.04,0.03,0.02,98172.0,0,0,0,1,0,0,0,0,1
1420,304.0,839.15,3.96,4.6,363,1,2,13,13,12,13,13,13,13,12,13,0.64,0.15,0.14,0.06,0.01,0.04,0.03,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
2589,242.0,839.15,3.97,4.6,11198,1,3,13,3,13,15,4,18,16,12,13,0.44,0.12,0.11,0.11,0.06,0.04,0.04,0.03,0.03,0.02,,0,0,1,0,0,0,0,0,1
2451,462.0,839.15,4.32,4.6,20669,1,12,6,13,13,13,17,13,13,12,13,0.45,0.18,0.09,0.08,0.05,0.05,0.03,0.03,0.02,0.01,,0,1,0,0,0,0,0,0,1
2078,85.0,839.15,4.03,4.6,4638,1,15,13,12,13,13,13,13,13,12,13,0.81,0.06,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,0,0,0,0,1,0,0,0,1
1684,391.0,839.15,3.92,4.6,26888,1,19,13,4,4,15,13,13,13,12,13,0.4,0.14,0.11,0.1,0.06,0.05,0.04,0.04,0.03,0.03,,0,1,0,0,0,0,0,0,1
1705,277.0,839.15,4.03,4.6,2243,1,15,13,12,13,13,0,13,13,12,13,0.73,0.08,0.07,0.03,0.03,0.02,0.01,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
2367,416.0,839.15,4.2,4.6,3421,1,3,3,7,4,13,13,4,13,16,13,0.37,0.27,0.14,0.09,0.03,0.03,0.02,0.02,0.02,0.01,,0,1,0,0,0,0,0,0,1
2279,330.0,839.15,4.89,4.6,27,1,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,57604.0,0,0,1,0,0,0,0,0,1
227,531.0,839.15,4.32,4.6,1123138,1,4,4,13,13,13,13,13,13,12,4,0.42,0.29,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,1,0,0
2204,371.0,839.15,4.37,4.6,37368,1,3,3,13,13,15,13,13,13,4,16,0.31,0.2,0.13,0.09,0.06,0.05,0.04,0.04,0.04,0.04,,0,1,0,0,0,0,0,0,1
1833,289.0,839.15,4.31,4.6,5990,1,12,9,13,0,13,13,13,13,12,13,0.32,0.23,0.13,0.11,0.05,0.04,0.03,0.03,0.03,0.02,,0,1,0,0,0,0,0,0,1
1510,352.0,839.15,4.28,4.6,11410,1,10,13,4,3,13,13,13,13,17,13,0.3,0.14,0.12,0.11,0.1,0.06,0.04,0.04,0.04,0.04,,0,1,0,0,0,0,0,0,1
1345,128.0,839.15,4.23,4.6,4345,1,5,1,13,3,8,4,4,13,11,13,0.39,0.36,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,,0,0,0,0,1,0,0,0,1
1363,402.0,839.15,4.27,4.6,11566,1,6,12,13,6,13,13,13,13,12,0,0.4,0.28,0.18,0.06,0.02,0.02,0.01,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
2421,272.0,839.15,4.02,4.6,4475,1,12,9,0,13,13,13,13,13,12,13,0.35,0.23,0.14,0.09,0.07,0.04,0.04,0.03,0.01,0.01,,0,1,0,0,0,0,0,0,1
2057,56.0,1451.49,4.16,4.5,1455,37,15,12,13,13,13,13,13,9,12,13,0.9,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0,0,0,0,1,0,1,0,0
1069,400.0,839.15,4.51,4.6,9958,1,19,15,13,4,4,13,13,13,12,13,0.28,0.25,0.17,0.09,0.06,0.05,0.04,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
